,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link,Narative
,,,,,,,,,,,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,AI
,18,NEAR ProtocolNEAR,$7.23,2.11%,3.44%,8.54%,"$7.67B$7,666,897,106","$471,434,35565,223,181 NEAR","1,060,719,078 NEAR",,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,AI
,30,BittensorTAO,$623.68,7.40%,2.13%,6.20%,"$4.1B$4,101,288,846","$94,869,564152,113 TAO","6,575,949 TAO",,https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,AI
,37,RenderRNDR,$9.36,1.09%,0.21%,1.22%,"$3.57B$3,572,656,451","$169,039,88918,067,727 RNDR","381,861,234 RNDR",,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,AI
,45,The GraphGRT,$0.3261,0.88%,0.80%,2.52%,"$3.08B$3,083,820,206","$95,107,531291,664,062 GRT","9,457,079,943 GRT",,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,AI
,46,Theta NetworkTHETA,$3.03,0.86%,10.39%,19.27%,"$3.03B$3,028,826,151","$101,676,66233,569,659 THETA","1,000,000,000 THETA",,https://s2.coinmarketcap.com/static/img/coins/64x64/3773.png,AI
,52,Fetch.aiFET,$2.72,2.37%,6.28%,2.27%,"$2.3B$2,301,580,950","$245,107,07090,094,124 FET","845,993,215 FET",,https://s2.coinmarketcap.com/static/img/coins/64x64/2424.png,AI
,82,SingularityNETAGIX,$1.08,1.09%,3.67%,0.68%,"$1.38B$1,380,085,650","$119,366,137110,883,886 AGIX","1,282,015,682 AGIX",,https://s2.coinmarketcap.com/static/img/coins/64x64/7431.png,AI
,102,Akash NetworkAKT,$4.18,0.55%,2.91%,0.23%,"$975.17M$975,170,347","$7,836,8271,873,849 AKT","233,171,179 AKT",,https://s2.coinmarketcap.com/static/img/coins/64x64/9104.png,AI
,108,AIOZ NetworkAIOZ,$0.7929,0.11%,1.21%,6.62%,"$860.92M$860,923,212","$7,825,5839,869,272 AIOZ","1,085,757,503 AIOZ",,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,AI
,110,Oasis NetworkROSE,$0.1253,0.44%,0.23%,2.79%,"$841.06M$841,060,435","$36,221,713289,132,720 ROSE","6,713,599,876 ROSE",,,AI
,,Echelon PrimePRIME,$22.37,,,,,,,,,AI
,,Theta FuelTFUEL,$0.12,,,,,,,,,AI
,,Ocean ProtocolOCEAN,$1.12,,,,,,,,,AI
,,GolemGLM,$0.52,,,,,,,,,AI
,,OriginTrailTRAC,$1.14,,,,,,,,,AI
,,ArkhamARKM,$2.02,,,,,,,,,AI
,,FluxFLUX,$1.10,,,,,,,,,AI
,,PAAL AIPAAL,$0.56,,,,,,,,,AI
,,KadenaKDA,$1.25,,,,,,,,,AI
,,0x0.ai0x0,$0.36,,,,,,,,,AI
,,ArcblockABT,$2.72,,,,,,,,,AI
,,iExec RLCRLC,$3.46,,,,,,,,,AI
,,RSS3RSS3,$0.43,,,,,,,,,AI
,,DelysiumAGI,$0.34,,,,,,,,,AI
,,NumeraireNMR,$33.38,,,,,,,,,AI
,,IQIQ,$0.01,,,,,,,,,AI
,,Sleepless AIAI,$1.45,,,,,,,,,AI
,,Node AIGPU,$2.15,,,,,,,,,AI
,,Hooked ProtocolHOOK,$1.31,,,,,,,,,AI
,,OraichainORAI,$14.14,,,,,,,,,AI
,,Phala NetworkPHA,$0.25,,,,,,,,,AI
,,CovalentCQT,$0.26,,,,,,,,,AI
,,NFPromptNFP,$0.67,,,,,,,,,AI
,,inSure DeFiSURE,$0.01,,,,,,,,,AI
,,ZignalyZIG,$0.10,,,,,,,,,AI
,,dKargoDKA,$0.04,,,,,,,,,AI
,,TokenFiTOKEN,$0.14,,,,,,,,,AI
,,ChainGPTCGPT,$0.32,,,,,,,,,AI
,,CUDOSCUDOS,$0.02,,,,,,,,,AI
,,Solidus Ai TechAITECH,$0.22,,,,,,,,,AI
,,PhoenixPHB,$2.20,,,,,,,,,AI
,,SIDUSSIDUS,$0.01,,,,,,,,,AI
,,VAIOTVAI,$0.30,,,,,,,,,AI
,,PlatONLAT,$0.02,,,,,,,,,AI
,,Agoras: Currency of TauAGRS,$5.21,,,,,,,,,AI
,,CortexCTXC,$0.40,,,,,,,,,AI
,,GaiminGMRX,$0.01,,,,,,,,,AI
,,LimeWireLMWR,$1.32,,,,,,,,,AI
,,FortaFORT,$0.21,,,,,,,,,AI
,,StreamrDATA,$0.08,,,,,,,,,AI
,,Zero1 LabsDEAI,$0.87,,,,,,,,,AI
,,Victoria VRVR,$0.03,,,,,,,,,AI
,,Numbers ProtocolNUM,$0.13,,,,,,,,,AI
,,VerasityVRA,$0.01,,,,,,,,,AI
,,Artificial Liquid IntelligenceALI,$0.02,,,,,,,,,AI
,,Measurable Data TokenMDT,$0.11,,,,,,,,,AI
,,DIADIA,$0.64,,,,,,,,,AI
,,PaLM AIPALM,$0.87,,,,,,,,,AI
,,SingularityDAOSDAO,$0.78,,,,,,,,,AI
,,Aleph.imALEPH,$0.25,,,,,,,,,AI
,,BottoBOTTO,$1.31,,,,,,,,,AI
,,Sentinel ProtocolUPP,$0.11,,,,,,,,,AI
,,TurboTURBO,$0.00,,,,,,,,,AI
,,SelfKeyKEY,$0.01,,,,,,,,,AI
,,Cere NetworkCERE,$0.01,,,,,,,,,AI
,,Hacken TokenHAI,$0.08,,,,,,,,,AI
,,Only1LIKE,$0.18,,,,,,,,,AI
,,LumerinLMR,$0.08,,,,,,,,,AI
,,Vectorspace AIVXV,$0.94,,,,,,,,,AI
,,Graphlinq ChainGLQ,$0.14,,,,,,,,,AI
,,iMe LabLIME,$0.09,,,,,,,,,AI
,,PARSIQPRQ,$0.19,,,,,,,,,AI
,,DockDOCK,$0.04,,,,,,,,,AI
,,VIDT DAOVIDT,$0.05,,,,,,,,,AI
,,Synesis OneSNS,$0.08,,,,,,,,,AI
,,AIT ProtocolAIT,$0.48,,,,,,,,,AI
,,OORTOORT,$0.49,,,,,,,,,AI
,,NuNetNTX,$0.07,,,,,,,,,AI
,,GameGPTDUEL,$0.02,,,,,,,,,AI
,,Volt InuVOLT,$0.00,,,,,,,,,AI
,,DexCheck AIDCK,$0.09,,,,,,,,,AI
,,Optimus AIOPTI,$0.30,,,,,,,,,AI
,,Step AppFITFI,$0.01,,,,,,,,,AI
,,Openfabric AIOFN,$0.48,,,,,,,,,AI
,,DeepBrain ChainDBC,$0.00,,,,,,,,,AI
,,GT ProtocolGTAI,$3.10,,,,,,,,,AI
,,TRVLTRVL,$0.08,,,,,,,,,AI
,,Atlas NaviNAVI,$0.42,,,,,,,,,AI
,,SwashSWASH,$0.02,,,,,,,,,AI
,,Image Generation AIIMGNAI,$0.03,,,,,,,,,AI
,,PhantasmaSOUL,$0.15,,,,,,,,,AI
,,Matrix AI NetworkMAN,$0.04,,,,,,,,,AI
,,AIPADAIPAD,$0.15,,,,,,,,,AI
,,Bridge OracleBRG,$0.00,,,,,,,,,AI
,,Lush AILUSH,$0.00,,,,,,,,,AI
,,Robonomics.networkXRT,$8.59,,,,,,,,,AI
,,PIBBLEPIB,$0.00,,,,,,,,,AI
,,Big Data ProtocolBDP,$0.26,,,,,,,,,AI
,,LambdaLAMB,$0.01,,,,,,,,,AI
,,SENATESENATE,$0.12,,,,,,,,,AI
