,,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link,Narrative
0,,11,AvalancheAVAX,$45.94,0.71%,1.50%,3.22%,"$17.36B$17,363,179,543","$426,314,8119,278,814 AVAX","377,912,534 AVAX",,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,RWA
1,,16,ChainlinkLINK,$17.20,0.45%,0.18%,4.60%,"$10.1B$10,096,658,416","$281,868,88316,390,097 LINK","587,099,970 LINK",,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,RWA
2,,19,Internet ComputerICP,$15.50,0.43%,1.69%,13.88%,"$7.17B$7,166,771,581","$163,109,10010,523,707 ICP","462,396,055 ICP",,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,RWA
3,,37,VeChainVET,$0.04749,0.40%,8.59%,12.14%,"$3.45B$3,453,432,600","$153,230,4403,226,377,557 VET","72,714,516,834 VET",,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,RWA
4,,42,MakerMKR,"$3,314.43",0.72%,2.28%,16.73%,"$3.06B$3,064,887,155","$87,293,89526,338 MKR","924,710 MKR",,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,RWA
5,,86,SynthetixSNX,$3.84,0.37%,0.68%,6.46%,"$1.26B$1,258,447,687","$34,553,7518,999,703 SNX","327,769,196 SNX",,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,RWA
6,,95,OndoONDO,$0.7533,0.08%,0.34%,9.77%,"$1.05B$1,046,849,495","$139,078,652184,635,829 ONDO","1,389,759,838 ONDO",,https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,RWA
7,,105,Ribbon FinanceRBN,$1.66,0.35%,0.75%,0.45%,"$890.63M$890,628,508","$4,047,6542,440,938 RBN","537,093,440 RBN",,https://s2.coinmarketcap.com/static/img/coins/64x64/12387.png,RWA
8,,115,MANTRAOM,$0.9884,1.95%,16.13%,46.64%,"$784.82M$784,818,321","$103,422,668104,631,472 OM","793,991,274 OM",,https://s2.coinmarketcap.com/static/img/coins/64x64/6536.png,RWA
9,,139,XDC NetworkXDC,$0.04192,1.81%,5.64%,8.70%,"$582.97M$582,970,801","$7,695,502183,595,934 XDC","13,908,264,022 XDC",,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,RWA
10,,,Reserve RightsRSR,$0.01,,,,,,,,,RWA
11,,,OriginTrailTRAC,$1.08,,,,,,,,,RWA
12,,,PolymeshPOLYX,$0.49,,,,,,,,,RWA
13,,,CentrifugeCFG,$0.82,,,,,,,,,RWA
14,,,ChiaXCH,$37.61,,,,,,,,,RWA
15,,,PropyPRO,$3.28,,,,,,,,,RWA
16,,,ChromiaCHR,$0.39,,,,,,,,,RWA
17,,,CreditcoinCTC,$0.81,,,,,,,,,RWA
18,,,VenusXVS,$15.46,,,,,,,,,RWA
19,,,LiskLSK,$1.89,,,,,,,,,RWA
20,,,DuskDUSK,$0.44,,,,,,,,,RWA
21,,,OraichainORAI,$13.76,,,,,,,,,RWA
22,,,AllianceBlock NexeraNXRA,$0.21,,,,,,,,,RWA
23,,,TrueFiTRU,$0.13,,,,,,,,,RWA
24,,,TokenFiTOKEN,$0.14,,,,,,,,,RWA
25,,,Hifi FinanceHIFI,$1.11,,,,,,,,,RWA
26,,,GoldfinchGFI,$3.87,,,,,,,,,RWA
27,,,LTO NetworkLTO,$0.24,,,,,,,,,RWA
28,,,ClearpoolCPOOL,$0.21,,,,,,,,,RWA
29,,,MapleMPL,$21.36,,,,,,,,,RWA
30,,,StrikeXSTRX,$0.10,,,,,,,,,RWA
31,,,NEOPINNPT,$0.92,,,,,,,,,RWA
32,,,Boson ProtocolBOSON,$0.64,,,,,,,,,RWA
33,,,PolymathPOLY,$0.09,,,,,,,,,RWA
34,,,PolytradeTRADE,$2.39,,,,,,,,,RWA
35,,,PropbasePROPS,$0.20,,,,,,,,,RWA
36,,,PropchainPROPC,$3.85,,,,,,,,,RWA
37,,,OpulousOPUL,$0.23,,,,,,,,,RWA
38,,,PLANETPLANET,$0.00,,,,,,,,,RWA
39,,,LumerinLMR,$0.08,,,,,,,,,RWA
40,,,ELYSIAEL,$0.01,,,,,,,,,RWA
41,,,Swarm MarketsSMT,$1.07,,,,,,,,,RWA
42,,,Blocksquare TokenBST,$0.75,,,,,,,,,RWA
43,,,CredefiCREDI,$0.04,,,,,,,,,RWA
44,,,HathorHTR,$0.11,,,,,,,,,RWA
45,,,Stobox TokenSTBU,$0.28,,,,,,,,,RWA
46,,,TRVLTRVL,$0.08,,,,,,,,,RWA
47,,,KlimaDAOKLIMA,$2.94,,,,,,,,,RWA
48,,,EverestID,$0.17,,,,,,,,,RWA
49,,,BrickkenBKN,$0.73,,,,,,,,,RWA
50,,,LandshareLAND,$4.69,,,,,,,,,RWA
51,,,BytomBTM,$0.01,,,,,,,,,RWA
52,,,UBXS TokenUBXS,$0.38,,,,,,,,,RWA
53,,,Realio NetworkRIO,$2.15,,,,,,,,,RWA
54,,,Comtech GoldCGO,$75.50,,,,,,,,,RWA
55,,,SoilSOIL,$2.86,,,,,,,,,RWA
56,,,VeloceVEXT,$0.09,,,,,,,,,RWA
57,,,Horizon ProtocolHZN,$0.05,,,,,,,,,RWA
58,,,3DPassP3D,$0.02,,,,,,,,,RWA
59,,,Uno ReUNO,$0.06,,,,,,,,,RWA
60,,,ApeBondABOND,$0.03,,,,,,,,,RWA
61,,,Alvara ProtocolALVA,$0.79,,,,,,,,,RWA
62,,,LABS GroupLABS,$0.00,,,,,,,,,RWA
63,,,Acquire.FiACQ,$0.03,,,,,,,,,RWA
64,,,EktaEKTA,$0.00,,,,,,,,,RWA
65,,,Polyhedra NetworkZK,$2.50,,,,,,,,,RWA
66,,,CANTOCANTO,$0.21,,,,,,,,,RWA
67,,,IX SwapIXS,$0.57,,,,,,,,,RWA
68,,,Grand BaseGB,$2.94,,,,,,,,,RWA
69,,,LandX FinanceLNDX,$2.17,,,,,,,,,RWA
70,,,Cogito FinanceCGV,$0.16,,,,,,,,,RWA
71,,,DefactorFACTR,$0.20,,,,,,,,,RWA
72,,,Alkimi$ADS,$0.18,,,,,,,,,RWA
73,,,ORIGYNOGY,$0.01,,,,,,,,,RWA
74,,,LEOXLEOX,$1.17,,,,,,,,,RWA
75,,,Crypto Real EstateCRE,$0.06,,,,,,,,,RWA
76,,,BilliCatBCAT,$0.01,,,,,,,,,RWA
77,,,STIMASTIMA,$1.00,,,,,,,,,RWA
78,,,Domani ProtocolDEXTF,$0.24,,,,,,,,,RWA
79,,,AssetMantleMNTL,$0.00,,,,,,,,,RWA
80,,,Crafting FinanceCRF,$0.00,,,,,,,,,RWA
81,,,TheopetraTHEO,$0.10,,,,,,,,,RWA
82,,,NAOS FinanceNAOS,$0.04,,,,,,,,,RWA
83,,,Decentralized ETFDETF,$0.10,,,,,,,,,RWA
84,,,ComdexCMDX,$0.03,,,,,,,,,RWA
85,,,Curio GovernanceCGT,$0.02,,,,,,,,,RWA
86,,,LucidaoLCD,$0.03,,,,,,,,,RWA
87,,,Poison FinancePOI$ON,$0.16,,,,,,,,,RWA
88,,,TiamondsTIA,$0.01,,,,,,,,,RWA
89,,,Staked USDTSTUSDT,$0.99,,,,,,,,,RWA
90,,,Republic NoteNOTE,$--,,,,,,,,,RWA
91,,,HomeCoinHOME,$--,,,,,,,,,RWA
92,,,CitaDAOKNIGHT,$--,,,,,,,,,RWA
93,,,Bluejay FinanceBLU,$--,,,,,,,,,RWA
94,,,OUSGOUSG,$--,,,,,,,,,RWA
95,,,OpenEden TBILL VaultTBILL,$--,,,,,,,,,RWA
96,,,Short-term T-Bill TokenSTBT,$--,,,,,,,,,RWA
97,,,Backed IB01 $ Treasury Bond 0-1yrBIB01,$--,,,,,,,,,RWA
98,,,Franklin OnChain U.S. Government Money FundFOBXX,$--,,,,,,,,,RWA
99,,,WisdomTree Short-Term Treasury Digital FundWTSYX,$--,,,,,,,,,RWA
